Company Name,Exchange:Ticker,Industry Group,Country,Broad Group,Sub Group
01 Communique Laboratory Inc. (TSXV:ONE),TSXV:ONE,Software (System & Application),Canada,"Australia, NZ and Canada",Canada
1300SMILES Limited (ASX:ONT),ASX:ONT,Hospitals/Healthcare Facilities,Australia,"Australia, NZ and Canada",Australia & NZ
1511419 Ontario Inc. (OTCPK:CSFS.F),OTCPK:CSFS.F,Financial Svcs. (Non-bank & Insurance),Canada,"Australia, NZ and Canada",Canada
1511419 Ontario Inc. (OTCPK:CSFS.F),OTCPK:CSFS.F,Financial Svcs. (Non-bank & Insurance),Canada,"Australia, NZ and Canada",Canada
1st Available Ltd (ASX:1ST),ASX:1ST,Heathcare Information and Technology,Australia,"Australia, NZ and Canada",Australia & NZ
360 Capital Group Limited (ASX:TGP),ASX:TGP,R.E.I.T.,Australia,"Australia, NZ and Canada",Australia & NZ
3D Medical Limited (ASX:3DM),ASX:3DM,Healthcare Products,Australia,"Australia, NZ and Canada",Australia & NZ
3D Oil Limited (ASX:TDO),ASX:TDO,Oil/Gas (Production and Exploration),Australia,"Australia, NZ and Canada",Australia & NZ
3MV Energy Corp. (TSXV:TMV),TSXV:TMV,Oil/Gas (Production and Exploration),Canada,"Australia, NZ and Canada",Canada
3P Learning Limited (ASX:3PL),ASX:3PL,Education,Australia,"Australia, NZ and Canada",Australia & NZ
3TL Technologies Corp. (TSXV:TTM),TSXV:TTM,Software (System & Application),Canada,"Australia, NZ and Canada",Canada
49 North Resources Inc. (TSXV:FNR),TSXV:FNR,Investments & Asset Management,Canada,"Australia, NZ and Canada",Canada
5Banc Split Inc. (TSX:FBS.B),TSX:FBS.B,Investments & Asset Management,Canada,"Australia, NZ and Canada",Canada
5N Plus Inc. (TSX:VNP),TSX:VNP,Electronics (General),Canada,"Australia, NZ and Canada",Canada
88 Capital Corp. (TSXV:EEC),TSXV:EEC,Metals & Mining,Canada,"Australia, NZ and Canada",Canada
88 Energy Limited (ASX:88E),ASX:88E,Oil/Gas (Production and Exploration),Australia,"Australia, NZ and Canada",Australia & NZ
8common Limited (ASX:8CO),ASX:8CO,Software (System & Application),Australia,"Australia, NZ and Canada",Australia & NZ
92 Resources Corp. (DB:R9G2),DB:R9G2,Metals & Mining,Canada,"Australia, NZ and Canada",Canada
A-Cap Resources Limited (ASX:ACB),ASX:ACB,Coal & Related Energy,Australia,"Australia, NZ and Canada",Australia & NZ
A&W Revenue Royalties Income Fund (TSX:AW.UN),TSX:AW.UN,Restaurant/Dining,Canada,"Australia, NZ and Canada",Canada
A1 Consolidated Gold Ltd (ASX:AYC),ASX:AYC,Precious Metals,Australia,"Australia, NZ and Canada",Australia & NZ
A2 Acquisition Corp. (TSXV:APD.P),TSXV:APD.P,Investments & Asset Management,Canada,"Australia, NZ and Canada",Canada
AAN Ventures Inc (DB:O3X2),DB:O3X2,Oil/Gas (Production and Exploration),Canada,"Australia, NZ and Canada",Canada
Abacus Mining & Exploration Corporation (TSXV:AME),TSXV:AME,Metals & Mining,Canada,"Australia, NZ and Canada",Canada
Abano Healthcare Group Limited (NZSE:ABA),NZSE:ABA,Healthcare Support Services,New Zealand,"Australia, NZ and Canada",Australia & NZ
Abattis Bioceuticals Corp. (OTCPK:ATTB.F),OTCPK:ATTB.F,Drugs (Pharmaceutical),Canada,"Australia, NZ and Canada",Canada
Abcourt Mines Inc. (TSXV:ABI),TSXV:ABI,Precious Metals,Canada,"Australia, NZ and Canada",Canada
ABE Resources Inc. (TSXV:ABE),TSXV:ABE,Precious Metals,Canada,"Australia, NZ and Canada",Canada
Aben Resources Ltd. (TSXV:ABN),TSXV:ABN,Metals & Mining,Canada,"Australia, NZ and Canada",Canada
Abenteuer Resources Corp. (TSXV:ABU),TSXV:ABU,Oil/Gas (Production and Exploration),Canada,"Australia, NZ and Canada",Canada
Abenteuer Resources Corp. (TSXV:ABU),TSXV:ABU,Oil/Gas (Production and Exploration),Canada,"Australia, NZ and Canada",Canada
Aberdeen International Inc. (TSX:AAB),TSX:AAB,Precious Metals,Canada,"Australia, NZ and Canada",Canada
Abitibi Royalties Inc. (TSXV:RZZ),TSXV:RZZ,Metals & Mining,Canada,"Australia, NZ and Canada",Canada
