"To look up a company, you can either go through the entire list (which is alphabetically sorted) or use the lookup function that I have built in.",,,,,
Company name,2S Metal Public Company Limited (SET:2S),Please use the scrolling list to find your company,,,
Industry Group =,Steel,,,,
Country =,Thailand,,,,
Broad Geographical group =,Emerging Markets,,,,
Sub Group =,Small Asia,,,,
"If you want to find the companies in a sector, use the industry sorted worksheet in this spreadsheet",,,,,
,,,,,
,,,,,
Company Name,Exchange:Ticker,Industry Group,Country,Broad Group,Sub Group
1 Utopia Berhad (KLSE:UTOPIA),KLSE:UTOPIA,Machinery,Malaysia,Emerging Markets,Small Asia
"1. garantovaná, a.s. (BSSE:1GRT002E)",BSSE:1GRT002E,Diversified,Slovakia,Emerging Markets,EU & Environs
1010 Printing Group Limited (SEHK:1127),SEHK:1127,Publshing & Newspapers,Hong Kong,Emerging Markets,China
104 Corporation (TSEC:3130),TSEC:3130,Business & Consumer Services,Taiwan,Emerging Markets,Small Asia
138 Student Living Jamaica Limited (JMSE:138SL),JMSE:138SL,Real Estate (Operations & Services),Jamaica,Emerging Markets,Latin America & Caribbean
20 Microns Limited (BSE:533022),BSE:533022,Chemical (Specialty),India,Emerging Markets,India
2GO Group Inc. (PSE:2GO),PSE:2GO,Shipbuilding & Marine,Philippines,Emerging Markets,Small Asia
2S Metal Public Company Limited (SET:2S),SET:2S,Steel,Thailand,Emerging Markets,Small Asia
361 Degrees International Limited (SEHK:1361),SEHK:1361,Apparel,China,Emerging Markets,China
3Cnergy Limited (Catalist:502),Catalist:502,Real Estate (Operations & Services),Singapore,Emerging Markets,Small Asia
"3DFamily Technology Co., Ltd. (GTSM:3151)",GTSM:3151,Electronics (General),Taiwan,Emerging Markets,Small Asia
3i Infotech Limited (BSE:532628),BSE:532628,Software (System & Application),India,Emerging Markets,India
3i Infrastructure plc (LSE:3IN),LSE:3IN,#N/A,Channel Islands,Emerging Markets,UK
3M India Limited (BSE:523395),BSE:523395,Office Equipment & Services,India,Emerging Markets,India
"3Power Energy Group, Inc. (OTCPK:PSPW)",OTCPK:PSPW,Green & Renewable Energy,United Arab Emirates,Emerging Markets,Africa and Middle East
3S Korea Co. Ltd. (KOSDAQ:A060310),KOSDAQ:A060310,Electronics (General),South Korea,Emerging Markets,Small Asia
3SBio Inc. (SEHK:1530),SEHK:1530,Drugs (Biotechnology),China,Emerging Markets,China
482 Joint Stock Company (HASTC:B82),HASTC:B82,Engineering/Construction,Vietnam,Emerging Markets,Small Asia
52 Weeks Entertainment Limited (BSE:531925),BSE:531925,Food Processing,India,Emerging Markets,India
7-Eleven Malaysia Holdings Berhad (KLSE:SEM),KLSE:SEM,Retail (Grocery and Food),Malaysia,Emerging Markets,Small Asia
7Seas Entertainment Limited (BSE:590116),BSE:590116,Software (Entertainment),India,Emerging Markets,India
800 Super Holdings Limited (Catalist:5TG),Catalist:5TG,Environmental & Waste Services,Singapore,Emerging Markets,Small Asia
"8990 Holdings, Inc. (PSE:HOUSE)",PSE:HOUSE,Real Estate (Development),Philippines,Emerging Markets,Small Asia
8K Miles Software Services Ltd (BSE:512161),BSE:512161,Software (System & Application),India,Emerging Markets,India
8Telecom International Holdings Co. Ltd. (SGX:AZG),SGX:AZG,Telecom. Equipment,China,Emerging Markets,China
