Company Name,Exchange:Ticker,Industry Group,Country,Broad Group,Sub Group
01CYBERATON S.A. (WSE:01C),WSE:01C,Green & Renewable Energy,Poland,Developed Europe,EU & Environs
1000mercis (ENXTPA:ALMIL),ENXTPA:ALMIL,Advertising,France,Developed Europe,EU & Environs
11 Bit Studios S.A. (WSE:11B),WSE:11B,Software (Entertainment),Poland,Developed Europe,EU & Environs
"1nKemia IUCT Group, S.A. (CATS:IKM)",CATS:IKM,Drugs (Biotechnology),Spain,Developed Europe,EU & Environs
1pm PLC (AIM:OPM),AIM:OPM,Financial Svcs. (Non-bank & Insurance),United Kingdom,Developed Europe,UK
1Spatial Plc (AIM:SPA),AIM:SPA,Software (Internet),United Kingdom,Developed Europe,UK
1st RED AG (DB:SXL),DB:SXL,Real Estate (Operations & Services),Germany,Developed Europe,EU & Environs
203 Web Group AB (publ) (OM:203),OM:203,Software (Internet),Sweden,Developed Europe,EU & Environs
21st Century Technology plc. (AIM:C21),AIM:C21,Auto Parts,United Kingdom,Developed Europe,UK
2C Partners Spólka Akcyjna (WSE:2CP),WSE:2CP,Real Estate (Operations & Services),Poland,Developed Europe,EU & Environs
2E Group AB (publ) (OM:2E),OM:2E,Entertainment,Sweden,Developed Europe,EU & Environs
2G energy AG (DB:2GB),DB:2GB,Electrical Equipment,Germany,Developed Europe,EU & Environs
2Intellect.com Spólka Akcyjna (WSE:2IT),WSE:2IT,Software (System & Application),Poland,Developed Europe,EU & Environs
32Red Plc (AIM:TTR),AIM:TTR,Hotel/Gaming,Gibraltar,Developed Europe,UK
365 Agile Group plc (AIM:365),AIM:365,Investments & Asset Management,United Kingdom,Developed Europe,UK
"3D Pioneer Systems, Inc. (OTCPK:DPSM)",OTCPK:DPSM,Software (System & Application),United Kingdom,Developed Europe,UK
3i Group plc (LSE:III),LSE:III,Investments & Asset Management,United Kingdom,Developed Europe,UK
3U Holding AG (XTRA:UUU),XTRA:UUU,Telecom. Services,Germany,Developed Europe,EU & Environs
3W Power SA (DB:3W9K),DB:3W9K,Electrical Equipment,Luxembourg,Developed Europe,EU & Environs
4D pharma plc (AIM:DDDD),AIM:DDDD,Drugs (Pharmaceutical),United Kingdom,Developed Europe,UK
4Energy Invest NV (ENXTBR:ENINV),ENXTBR:ENINV,Power,Belgium,Developed Europe,EU & Environs
4fun Media SA (WSE:4FM),WSE:4FM,Broadcasting,Poland,Developed Europe,EU & Environs
4iG Nyrt. (BUSE:4IG),BUSE:4IG,Computer Services,Hungary,Developed Europe,EU & Environs
4imprint Group plc (LSE:FOUR),LSE:FOUR,Advertising,United Kingdom,Developed Europe,UK
4SC AG (XTRA:VSC1),XTRA:VSC1,Drugs (Biotechnology),Germany,Developed Europe,EU & Environs
5th Avenue Holding Spolka Akcyjna (WSE:5AH),WSE:5AH,Real Estate (Operations & Services),Poland,Developed Europe,EU & Environs
6pm Holdings Plc (MTSE:6PM),MTSE:6PM,Computer Services,Malta,Developed Europe,EU & Environs
7C Solarparken AG (DB:HRPK),DB:HRPK,Electrical Equipment,Germany,Developed Europe,EU & Environs
7Digital Group PLC (AIM:7DIG),AIM:7DIG,Broadcasting,United Kingdom,Developed Europe,UK
888 Holdings Public Limited Company (LSE:888),LSE:888,Hotel/Gaming,Gibraltar,Developed Europe,UK
A City Media AB (publ) (OM:ACM),OM:ACM,Advertising,Sweden,Developed Europe,EU & Environs
A Group Of Retail Assets Sweden AB (publ) (OM:AGORA B),OM:AGORA B,Real Estate (Operations & Services),Sweden,Developed Europe,EU & Environs
A. Tsokkos Hotels Public LTD. (CSE:TSH),CSE:TSH,Hotel/Gaming,Cyprus,Developed Europe,EU & Environs
A.A.A. Aktiengesellschaft Allgemeine Anlageverwaltung (DB:AAA),DB:AAA,Real Estate (Operations & Services),Germany,Developed Europe,EU & Environs
A.G.Barr p.l.c. (LSE:BAG),LSE:BAG,Beverage (Soft),United Kingdom,Developed Europe,UK
a.i.s. AG (DB:LUM),DB:LUM,Environmental & Waste Services,Germany,Developed Europe,EU & Environs
A.P. Møller - Mærsk A/S (CPSE:MAERSK B),CPSE:MAERSK B,Shipbuilding & Marine,Denmark,Developed Europe,EU & Environs
A.S. Roma S.P.A. (BIT:ASR),BIT:ASR,Entertainment,Italy,Developed Europe,EU & Environs
A.V.O.D Kurutulmus Gida ve Tarim Urunleri Sanayi Ticaret A.S (IBSE:AVOD),IBSE:AVOD,Food Processing,Turkey,Developed Europe,EU & Environs
A&J Mucklow Group plc (LSE:MKLW),LSE:MKLW,R.E.I.T.,United Kingdom,Developed Europe,UK
A&P (Andreou & Paraskevaides) Enterprises Public Company Ltd (CSE:APE),CSE:APE,Beverage (Soft),Cyprus,Developed Europe,EU & Environs
