Company Name,Exchange:Ticker,Industry Group,Country,Broad Group,Sub Group
1-800-Flowers.com Inc. (NasdaqGS:FLWS),NasdaqGS:FLWS,Retail (Online),United States,United States,United States
1-PAGE LIMITED (ASX:1PG),ASX:1PG,Software (System & Application),United States,United States,United States
1347 Capital Corp. (NasdaqCM:TFSC),NasdaqCM:TFSC,Investments & Asset Management,United States,United States,United States
"1347 Property Insurance Holdings, Inc. (NasdaqGM:PIH)",NasdaqGM:PIH,Insurance (Prop/Cas.),United States,United States,United States
"1MAGE Software, Inc. (OTCPK:ISOL)",OTCPK:ISOL,Software (System & Application),United States,United States,United States
"1pm Industries, Inc. (OTCPK:OPMZ)",OTCPK:OPMZ,Retail (Online),United States,United States,United States
1st Capital Bank (OTCPK:FISB),OTCPK:FISB,Banks (Regional),United States,United States,United States
"1st Century Bancshares, Inc. (NasdaqCM:FCTY)",NasdaqCM:FCTY,Banks (Regional),United States,United States,United States
1st Colonial Bancorp Inc. (OTCPK:FCOB),OTCPK:FCOB,Banks (Regional),United States,United States,United States
1st Constitution Bancorp (NasdaqGM:FCCY),NasdaqGM:FCCY,Banks (Regional),United States,United States,United States
1st Prestige Wealth Management (OTCPK:FPWM),OTCPK:FPWM,Investments & Asset Management,United States,United States,United States
1st Source Corporation (NasdaqGS:SRCE),NasdaqGS:SRCE,Banks (Regional),United States,United States,United States
"2050 Motors, Inc. (OTCPK:ETFM)",OTCPK:ETFM,Retail (Distributors),United States,United States,United States
"22nd Century Group, Inc. (AMEX:XXII)",AMEX:XXII,Tobacco,United States,United States,United States
"2U, Inc. (NasdaqGS:TWOU)",NasdaqGS:TWOU,Education,United States,United States,United States
"3D Eye Solutions, Inc. (OTCPK:TDEY)",OTCPK:TDEY,Software (System & Application),United States,United States,United States
3D Icon Corporation (OTCPK:TDCP),OTCPK:TDCP,Telecom. Equipment,United States,United States,United States
3D Systems Corporation (NYSE:DDD),NYSE:DDD,Computers/Peripherals,United States,United States,United States
3DX Industries Inc. (OTCPK:DDDX),OTCPK:DDDX,Precious Metals,United States,United States,United States
3M Company (NYSE:MMM),NYSE:MMM,Diversified,United States,United States,United States
"3Pea International, Inc (OTCBB:TPNL)",OTCBB:TPNL,Information Services,United States,United States,United States
"420 Property Management, Inc. (OTCPK:FTPM)",OTCPK:FTPM,Real Estate (Operations & Services),United States,United States,United States
4Licensing Corporation (OTCPK:FOUR),OTCPK:FOUR,Entertainment,United States,United States,United States
5Barz International Inc. (OTCPK:BARZ),OTCPK:BARZ,Telecom. Equipment,United States,United States,United States
"800 Commerce, Inc. (OTCPK:ETHG)",OTCPK:ETHG,Information Services,United States,United States,United States
808 Renewable Energy Corporation (OTCPK:RNWR),OTCPK:RNWR,Green & Renewable Energy,United States,United States,United States
8point3 Energy Partners LP (NasdaqGS:CAFD),NasdaqGS:CAFD,Green & Renewable Energy,United States,United States,United States
8x8 Inc. (NasdaqGS:EGHT),NasdaqGS:EGHT,Telecom. Services,United States,United States,United States
"A-Mark Precious Metals, Inc. (NasdaqGS:AMRK)",NasdaqGS:AMRK,Financial Svcs. (Non-bank & Insurance),United States,United States,United States
A. H. Belo Corporation (NYSE:AHC),NYSE:AHC,Publshing & Newspapers,United States,United States,United States
A. M. Castle & Co. (NYSE:CAS),NYSE:CAS,Steel,United States,United States,United States
"A. Schulman, Inc. (NasdaqGS:SHLM)",NasdaqGS:SHLM,Chemical (Specialty),United States,United States,United States
"A1 Group, Inc. (OTCPK:AWON)",OTCPK:AWON,Software (Internet),United States,United States,United States
"A10 Networks, Inc. (NYSE:ATEN)",NYSE:ATEN,Software (System & Application),United States,United States,United States
"AAC Holdings, Inc. (NYSE:AAC)",NYSE:AAC,Hospitals/Healthcare Facilities,United States,United States,United States
AAON Inc. (NasdaqGS:AAON),NasdaqGS:AAON,Building Materials,United States,United States,United States
AAR Corp. (NYSE:AIR),NYSE:AIR,Aerospace/Defense,United States,United States,United States
"Aaron's, Inc. (NYSE:AAN)",NYSE:AAN,Retail (Special Lines),United States,United States,United States
AB&T Financial Corp. (OTCPK:ABTO),OTCPK:ABTO,Banks (Regional),United States,United States,United States
"Abakan, Inc. (OTCPK:ABKI)",OTCPK:ABKI,Chemical (Specialty),United States,United States,United States
"Abaxis, Inc. (NasdaqGS:ABAX)",NasdaqGS:ABAX,Healthcare Products,United States,United States,United States
Abbott Laboratories (NYSE:ABT),NYSE:ABT,Healthcare Products,United States,United States,United States
AbbVie Inc. (NYSE:ABBV),NYSE:ABBV,Drugs (Biotechnology),United States,United States,United States
Abby Inc. (OTCPK:ABBY),OTCPK:ABBY,Oil/Gas (Production and Exploration),United States,United States,United States
"ABCO Energy, Inc. (OTCPK:ABCE)",OTCPK:ABCE,Computer Services,United States,United States,United States
Abeona Therapeutics Inc. (NasdaqCM:ABEO),NasdaqCM:ABEO,Drugs (Biotechnology),United States,United States,United States
Abercrombie & Fitch Co. (NYSE:ANF),NYSE:ANF,Retail (Special Lines),United States,United States,United States
"ABIOMED, Inc. (NasdaqGS:ABMD)",NasdaqGS:ABMD,Healthcare Products,United States,United States,United States
Able Energy Inc. (OTCPK:ABLE),OTCPK:ABLE,Oil/Gas Distribution,United States,United States,United States
ABM Industries Incorporated (NYSE:ABM),NYSE:ABM,Environmental & Waste Services,United States,United States,United States
Abraxas Petroleum Corp. (NasdaqCM:AXAS),NasdaqCM:AXAS,Oil/Gas (Production and Exploration),United States,United States,United States
"Absolute Health and Fitness, Inc. (OTCPK:AHFI)",OTCPK:AHFI,Recreation,United States,United States,United States
"ABT Holdings, Inc. (OTCPK:ABOT)",OTCPK:ABOT,Metals & Mining,United States,United States,United States
"Abtech Holdings, Inc. (OTCPK:ABHD)",OTCPK:ABHD,Environmental & Waste Services,United States,United States,United States
"Acacia Diversified Holdings, Inc. (OTCPK:ACCA)",OTCPK:ACCA,Food Processing,United States,United States,United States
Acacia Research Corporation (NasdaqGS:ACTG),NasdaqGS:ACTG,Business & Consumer Services,United States,United States,United States
"Acadia Healthcare Company, Inc. (NasdaqGS:ACHC)",NasdaqGS:ACHC,Hospitals/Healthcare Facilities,United States,United States,United States
ACADIA Pharmaceuticals Inc. (NasdaqGS:ACAD),NasdaqGS:ACAD,Drugs (Biotechnology),United States,United States,United States
Acadia Realty Trust (NYSE:AKR),NYSE:AKR,R.E.I.T.,United States,United States,United States
"Accel Brands, Inc. (OTCPK:ACLP)",OTCPK:ACLP,Heathcare Information and Technology,United States,United States,United States
"Accelera Innovations, Inc (OTCPK:ACNV)",OTCPK:ACNV,Heathcare Information and Technology,United States,United States,United States
"Accelerate Diagnostics, Inc. (NasdaqCM:AXDX)",NasdaqCM:AXDX,Heathcare Information and Technology,United States,United States,United States
Accelerize Inc. (OTCBB:ACLZ),OTCBB:ACLZ,Software (Internet),United States,United States,United States
"Acceleron Pharma, Inc. (NasdaqGM:XLRN)",NasdaqGM:XLRN,Drugs (Biotechnology),United States,United States,United States
Acceptance Insurance Companies Inc. (OTCPK:AICI.Q),OTCPK:AICI.Q,Insurance (Prop/Cas.),United States,United States,United States
Access National Corporation (NasdaqGM:ANCX),NasdaqGM:ANCX,Banks (Regional),United States,United States,United States
"Access Power, Inc. (OTCPK:ACCR)",OTCPK:ACCR,Retail (Special Lines),United States,United States,United States
"Access Worldwide Communications, Inc. (OTCPK:AWWC)",OTCPK:AWWC,Advertising,United States,United States,United States
ACCO Brands Corporation (NYSE:ACCO),NYSE:ACCO,Office Equipment & Services,United States,United States,United States
"Accretive Health, Inc. (OTCPK:ACHI)",OTCPK:ACHI,Healthcare Support Services,United States,United States,United States
Accuray Incorporated (NasdaqGS:ARAY),NasdaqGS:ARAY,Healthcare Products,United States,United States,United States
Accurexa Inc. (OTCBB:ACXA),OTCBB:ACXA,Healthcare Products,United States,United States,United States
Accuride Corp. (NYSE:ACW),NYSE:ACW,Construction Supplies,United States,United States,United States
"AcelRx Pharmaceuticals, Inc. (NasdaqGM:ACRX)",NasdaqGM:ACRX,Drugs (Pharmaceutical),United States,United States,United States
Aceto Corp. (NasdaqGS:ACET),NasdaqGS:ACET,Healthcare Support Services,United States,United States,United States
"Achaogen, Inc. (NasdaqGM:AKAO)",NasdaqGM:AKAO,Drugs (Pharmaceutical),United States,United States,United States
"Achillion Pharmaceuticals, Inc. (NasdaqGS:ACHN)",NasdaqGS:ACHN,Drugs (Biotechnology),United States,United States,United States
"ACI Worldwide, Inc. (NasdaqGS:ACIW)",NasdaqGS:ACIW,Software (System & Application),United States,United States,United States
"Aclaris Therapeutics, Inc. (NasdaqGS:ACRS)",NasdaqGS:ACRS,Drugs (Pharmaceutical),United States,United States,United States
ACMAT Corporation (OTCPK:ACMT.A),OTCPK:ACMT.A,Insurance (Prop/Cas.),United States,United States,United States
Acme United Corp. (AMEX:ACU),AMEX:ACU,Office Equipment & Services,United States,United States,United States
ACNB Corp. (NasdaqCM:ACNB),NasdaqCM:ACNB,Banks (Regional),United States,United States,United States
Acology Inc. (OTCPK:ACOL),OTCPK:ACOL,Packaging & Container,United States,United States,United States
"Acorda Therapeutics, Inc. (NasdaqGS:ACOR)",NasdaqGS:ACOR,Drugs (Biotechnology),United States,United States,United States
"Acorn Energy, Inc. (OTCPK:ACFN)",OTCPK:ACFN,Electronics (General),United States,United States,United States
Acquired Sales Corp. (OTCPK:AQSP),OTCPK:AQSP,Software (System & Application),United States,United States,United States
ACRE Realty Investors Inc. (AMEX:AIII),AMEX:AIII,R.E.I.T.,United States,United States,United States
"ACS Global, Inc. (OTCPK:AMCY)",OTCPK:AMCY,Drugs (Biotechnology),United States,United States,United States
"Actinium Pharmaceuticals, Inc. (AMEX:ATNM)",AMEX:ATNM,Drugs (Biotechnology),United States,United States,United States
"Actinium Pharmaceuticals, Inc. (AMEX:ATNM)",AMEX:ATNM,Drugs (Biotechnology),United States,United States,United States
Active Power Inc. (NasdaqCM:ACPW),NasdaqCM:ACPW,Electrical Equipment,United States,United States,United States
"ActiveCare, Inc. (OTCPK:ACAR)",OTCPK:ACAR,Healthcare Products,United States,United States,United States
"Activision Blizzard, Inc. (NasdaqGS:ATVI)",NasdaqGS:ATVI,Software (Entertainment),United States,United States,United States
Actua Corporation (NasdaqGS:ACTA),NasdaqGS:ACTA,Software (Internet),United States,United States,United States
Actuant Corporation (NYSE:ATU),NYSE:ATU,Machinery,United States,United States,United States
Acucela Inc. (TSE:4589),TSE:4589,Drugs (Pharmaceutical),United States,United States,United States
"Acuity Brands, Inc. (NYSE:AYI)",NYSE:AYI,Electrical Equipment,United States,United States,United States
"Acuity Brands, Inc. (NYSE:AYI)",NYSE:AYI,Electrical Equipment,United States,United States,United States
"Acura Pharmaceuticals, Inc. (NasdaqCM:ACUR)",NasdaqCM:ACUR,Drugs (Pharmaceutical),United States,United States,United States
"Acusphere, Inc. (OTCPK:ACUS)",OTCPK:ACUS,Drugs (Pharmaceutical),United States,United States,United States
